Sprint,Phase,Title,Must-win goal,Primary acceptance gate
00,Foundation,제품 경계·데모 도메인·성공 정의 고정,"Foundry-lite를 단순 ETL/BI가 아니라 운영 객체 시스템으로 만들기 위한 제품 경계, 데모 도메인, MVP 합격 기준을 고정한다. 이후 스프린트에서 기능 욕심으로 범위가 퍼지지 않도록, 'Dataset → Transform → Ontology → Object → Action → Materialization → Downstream Transform' 폐루프를 유일한 북극성으로 둔다.",`examples/supply-chain-demo/README.md`에 end-to-end 데모 목표가 적혀 있다. / `examples/supply-chain-demo/data/*.csv` seed 파일이 있다. / `examples/supply-chain-demo/ontology/order-customer.yaml` 초안이 있다. / `docs/mvp-scope.md`에 v1 포함/제외 범위가 있다. / 팀원이 새 기능을 제안해도 이 문서를 기준으로 v1/v1.5/v2를 판정할 수 있다.
01,Scaffold,모노레포와 로컬 런타임 골격,"개발자가 저장소를 clone한 뒤 하나의 명령으로 API, Web, Worker, DB, Object Storage를 띄울 수 있게 한다. 아직 도메인 기능은 없어도, 이후 모든 스프린트가 같은 실행·테스트·마이그레이션 체계 위에서 진행되어야 한다.","`pnpm install && pnpm dev`가 성공한다. / `curl localhost:3000/healthz`가 `ok`를 반환한다. / Worker가 Temporal에 연결되었다는 로그를 남긴다. / Web이 API health 상태를 화면에 표시한다. / CI에서 lint, typecheck, unit test placeholder가 성공한다."
02,Scaffold,DB 마이그레이션·테넌트·인증 Stub·감사 골격,"모든 리소스가 `tenant_id`, `actor_user_id`, `request_id`를 기준으로 기록되는 최소 control plane 기반을 만든다. 이 스프린트의 목적은 보안 완전체가 아니라, 나중에 보안·감사·멀티테넌시를 끼워 넣을 수 있는 데이터 모양을 처음부터 고정하는 것이다.",마이그레이션을 빈 DB에 적용하고 롤백/재적용할 수 있다. / 개발용 seed tenant/user가 생성된다. / 인증 없는 요청은 dev mode에서도 명확한 default tenant/user로 귀속된다. / 테스트 API 호출이 audit row를 하나 이상 남긴다. / API 로그와 audit row가 같은 request id를 가진다.
03,Dataset Registry,Dataset 논리 자산 CRUD,"Dataset을 단순 파일 업로드가 아니라 namespace/name/schema/storage_kind를 가진 논리 자산으로 등록한다. 아직 파일 commit은 하지 않지만, 이후 transaction과 lineage가 붙을 안정적인 asset registry를 완성한다.",같은 tenant 안에서 같은 namespace/name 중복 생성이 실패한다. / 다른 tenant에서는 같은 namespace/name을 만들 수 있다. / Dataset 상세 API가 아직 version이 없어도 정상 응답한다. / 모든 create/update 요청이 audit row를 남긴다. / unit/integration test가 repository와 API 경로를 검증한다.
04,Dataset Registry,Dataset Transaction 상태 머신,"Dataset 변경을 반드시 `OPEN → COMMITTED | ABORTED` transaction으로만 일어나게 만든다. 이 스프린트가 성공해야 이후 CSV ingest, transform output, materialization output이 모두 같은 commit contract를 쓴다.",OPEN transaction에만 file을 attach할 수 있다. / COMMITTED transaction을 다시 commit하거나 abort할 수 없다. / COMMITTED version의 file 목록을 수정하려 하면 실패한다. / SNAPSHOT commit은 새 version을 HEAD로 만든다. / 동시 commit 시 version_number 충돌이 생기지 않는다.
05,Dataset Registry,StorageAdapter와 Manifest Commit Protocol,"S3/MinIO 같은 object storage에서 원자적 rename에 의존하지 않고, staging path와 manifest pointer를 통해 안전하게 dataset version을 commit한다. 이후 모든 writer는 이 commit protocol을 재사용해야 한다.",파일은 먼저 staging에 쓰이고 commit 후 manifest에 의해 version에 귀속된다. / manifest_uri만으로 dataset version의 파일 목록을 복원할 수 있다. / 중간 실패 후 재시도해도 중복 version이 생기지 않는다. / content_hash가 같은 파일 재첨부 정책이 명확하다. / MinIO 없이 mocked adapter로 unit test가 돈다.
06,Dataset Registry,CSV Upload → Raw Dataset Commit,사용자가 CSV 파일 하나를 업로드하면 Foundry-lite의 공식 dataset transaction protocol을 거쳐 `raw.*` dataset의 committed version이 만들어진다. 이때 첫 번째 실제 데이터 유입 경로가 완성된다.,"`examples/orders.csv` 업로드 후 `raw.erp_orders` latest version이 생긴다. / 업로드 실패 시 transaction은 ABORTED가 되고 committed version이 생기지 않는다. / 빈 CSV, header mismatch, invalid encoding에 대한 에러가 사용자에게 명확히 반환된다. / 업로드 결과가 Dataset UI/CLI에서 version_number, row_count와 함께 보인다. / 동일 파일 재업로드 시 새 SNAPSHOT version이 생기며 이전 version은 immutable하게 남는다."
07,Dataset Registry,Schema Registry·Compatibility·Preview,"Dataset version마다 schema contract가 기록되고, 사용자가 최신 version을 preview할 수 있게 한다. Ontology와 transform은 이 schema contract에 의존하므로, schema drift를 조기에 감지하는 기반을 만든다.",같은 schema의 새 upload는 schema version을 재사용하거나 동일 hash로 인식한다. / breaking schema change는 commit 전에 warning/error로 잡힌다. / `GET /api/datasets/{id}/preview?version=latest`가 첫 100 rows를 반환한다. / Preview는 object storage의 Parquet을 읽고 DB에 별도 적재하지 않는다. / schema compatibility unit test가 주요 케이스를 커버한다.
08,Dataset Registry,Health Checks와 Commit 차단,"Dataset이 형식상 commit되는 것만으로 성공으로 보지 않고, primary key uniqueness, not-null, row count 같은 품질 조건을 통과해야 downstream build로 넘어갈 수 있게 한다.",`order_id` unique check 실패 CSV는 committed version을 만들지 않는다. / not_null 실패 row count와 샘플 row가 결과 details에 남는다. / check 결과가 run_id와 transaction_id로 추적된다. / 사용자는 어떤 check가 실패했는지 UI/CLI에서 볼 수 있다. / Transform output에도 같은 check runner를 재사용할 수 있는 API가 있다.
09,Data Connection-lite,Source·Sync·Run Framework,"CSV upload를 특수 endpoint가 아니라 Data Connection-lite의 한 sync 유형으로 일반화한다. 이후 PostgreSQL, REST, Webhook, CDC가 같은 run lifecycle과 dataset transaction protocol을 사용하게 만든다.","CSV upload와 file sync가 같은 `sync_runs` 화면에 보인다. / sync retry가 같은 idempotency/run policy를 사용한다. / sync 실패 시 dataset transaction이 abort된다. / run 상세에서 source, output dataset, transaction id, committed version id가 보인다. / 새 connector를 추가할 때 core dataset code를 수정하지 않아도 된다."
